Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_000970025.1,ASM97002v1,Methanosarcina barkeri MS,1434108,OK,,MS,,,,,GCF_000970025.1-RS_2024_10_21,4574907,2,Complete Genome,4/7/2015,,4533209,4533209,2,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230939,SAMN03074575,3849,3636,144,assembly from type material,Methanosarcina,97.36,4.08
GCF_000016605.1,ASM1660v1,Metallosphaera sedula DSM 5348,399549,OK,,DSM 5348,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2191517,1,Complete Genome,4/25/2007,,2191517,2191517,1,,,,,,,,US DOE Joint Genome Institute,PRJNA17447,SAMN02598389,2406,2331,24,assembly from type material,Metallosphaera,99.12,
GCF_005406325.1,ASM540632v1,Haloferax mediterranei ATCC 33500,523841,OK,,ATCC 33500,,,,,GCF_005406325.1-RS_2024_10_23,3907473,4,Complete Genome,5/16/2019,,2948887,2948887,4,,,,,,,PacBio RSII,University of Maryland,PRJNA412908,SAMN11356524,3943,3809,69,assembly from type material,Haloferax,99.47,
GCF_000172995.2,ASM17299v2,Halogeometricum borinquense DSM 11551,469382,OK,,DSM 11551,,,,,GCF_000172995.2-RS_2024_10_21,3944467,6,Complete Genome,11/22/2010,,2820544,2820544,6,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA20743,SAMN00002580,3940,3816,64,assembly from type material,Halobacteriales,100,0.41
GCF_000304355.2,Mb_MS2,Methanoculleus bourgensis MS2,1201294,OK,,type strain:MS2,,,,,GCF_000304355.2-RS_2024_10_21,2789774,1,Complete Genome,2/4/2014,,2789774,2789774,1,,,,,,,,irena.maus,PRJEB167,SAMEA2272323,2699,2636,11,assembly from type material,Methanomicrobiaceae,96.9,2.36
GCF_000022205.1,ASM2220v1,Halorubrum lacusprofundi ATCC 49239,416348,OK,,ATCC 49239,,,,,GCF_000022205.1-RS_2024_10_21,3692576,3,Complete Genome,2/4/2009,,2735295,2735295,3,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA412908,SAMN02598407,3688,3529,97,assembly from type material,Halorubrum,99.17,1.36
GCF_000196895.1,ASM19689v1,Halalkalicoccus jeotgali B3,795797,OK,,B3,,,,,GCF_000196895.1-RS_2024_10_21,3698650,7,Complete Genome,6/23/2010,,2809118,2809118,7,,,,,,,,Kyung Hee University,PRJNA49517,SAMN02603490,3925,3790,81,assembly from type material,Halalkalicoccus jeotgali,96.73,2.22
GCF_000698785.1,ASM69878v1,Nitrososphaera viennensis EN76,926571,OK,,EN76,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2527938,1,Complete Genome,6/6/2014,,2527938,2527938,1,,,,,,,454,University of Vienna,PRJEA60103,SAMN02721150,2993,2935,8,assembly from type material,Thaumarchaeota,98.43,5.92
GCF_000091665.1,ASM9166v1,Methanocaldococcus jannaschii DSM 2661,243232,OK,,DSM 2661,,,,,GCF_000091665.1-RS_2024_10_21,1739927,3,Complete Genome,12/22/1999,,1664970,1664970,3,,,,,,,,TIGR,PRJNA102,SAMN02603984,1907,1812,50,assembly from type material,Methanocaldococcus,98.02,0.28
GCF_000018465.1,ASM1846v1,Nitrosopumilus maritimus SCM1,436308,OK,,SCM1,,,,,GCF_000018465.1-RS_2024_03_28,1645259,1,Complete Genome,11/15/2007,,1645259,1645259,1,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA19265,SAMN00000032,1973,1924,1,assembly from type material,Nitrosopumilaceae,99.28,1.35
GCF_000195915.1,ASM19591v1,Thermoplasma acidophilum DSM 1728,273075,OK,,DSM 1728,,,,,GCF_000195915.1-RS_2024_10_21,1564906,1,Complete Genome,5/6/2003,,1564906,1564906,1,,,,,,,,Max-Plank-Institute,PRJNA110,SAMEA3138325,1605,1543,11,assembly from type material,Thermoplasma,97.01,0.76
GCF_000007225.1,ASM722v1,Pyrobaculum aerophilum str. IM2,178306,OK,,IM2,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2222430,1,Complete Genome,1/24/2002,,2222430,2222430,1,,,,,,,,UCLA/CalTech,PRJNA172,SAMN02604075,2637,2562,26,assembly from type material,Pyrobaculum,99.41,0.03
GCF_000023965.1,ASM2396v1,Halomicrobium mukohataei DSM 12286,485914,OK,,DSM 12286,,,,,GCF_000023965.1-RS_2024_10_21,3332349,2,Complete Genome,9/3/2009,,3110487,3110487,2,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA27945,SAMN00002610,3448,3326,64,assembly from type material,Halomicrobium,97.67,2.21
GCF_008000775.2,ASM800077v2,Promethearchaeum syntrophicum,2594042,OK,,MK-D1,,,,,GCF_008000775.2-RS_2024_08_03,4324194,1,Complete Genome,7/26/2024,,4324194,4324194,1,,,,,,,Illumina MiSeq,National Institute of Advanced Industrial Science and Technology,PRJNA557562,SAMN12405820,3932,3868,15,assembly from type material,Archaea,92.06,5.14
GCF_031165565.1,ASM3116556v1,Natrinema thermotolerans,121872,OK,,A29,,,,,GCF_031165565.1-RS_2024_05_12,4432143,4,Complete Genome,9/6/2023,,4295251,4295251,4,,,,,,,PacBio,Wuhan University,PRJNA861911,SAMN29933361,4578,4456,49,assembly from synonym type material,Natrinema,95.88,15.04
GCF_000230715.2,ASM23071v3,Natronobacterium gregoryi SP2,797304,OK,,SP2,,,,,GCF_000230715.2-RS_2024_10_21,3788356,1,Complete Genome,12/10/2012,,3788356,3788356,1,,,,,,,454/Illumina,DOE Joint Genome Institute,PRJNA60135,SAMN02232042,3765,3591,114,assembly from type material,Natronobacterium gregoryi,97.11,0.58
GCF_027554905.1,ASM2755490v1,Methanothermobacter thermautotrophicus,145262,OK,,Delta H,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1751429,1,Complete Genome,1/3/2023,,1751429,1751429,1,,,,,,,PacBio Sequel I,University of Tuebingen,PRJNA674001,SAMN16604535,1861,1806,7,assembly from type material,Methanothermobacter,98.47,1.48
GCF_000017945.1,ASM1794v1,Ignicoccus hospitalis KIN4/I,453591,OK,,KIN4/I,,,,,GCF_000017945.1-RS_2024_03_28,1297538,1,Complete Genome,8/29/2007,,1297538,1297538,1,,,,,,,,US DOE Joint Genome Institute,PRJNA13914,SAMN02598324,1531,1474,4,assembly from type material,Desulfurococcaceae,99.1,
GCF_000008665.1,ASM866v1,Archaeoglobus fulgidus DSM 4304,224325,OK,,DSM 4304,,,,,GCF_000008665.1-RS_2024_10_21,2178400,1,Complete Genome,12/22/1999,,2178400,2178400,1,,,,,,,,TIGR,PRJNA104,SAMN02603985,2563,2472,40,assembly from type material,Archaeoglobus fulgidus,96.69,2.53
GCF_000018365.1,ASM1836v1,Thermococcus onnurineus NA1,523850,OK,,NA1,,,,,GCF_000018365.1-RS_2024_10_21,1847607,1,Complete Genome,11/6/2008,,1847607,1847607,1,,,,,,,,Korea Ocean Research & Development Institute,PRJNA20773,SAMN02603476,2057,1987,18,assembly from type material,Thermococcus,99.3,0.35
GCF_000011125.1,ASM1112v1,Aeropyrum pernix K1,272557,OK,,K1,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1669696,1,Complete Genome,10/11/2006,,1669696,1669696,1,,,,,,,,NITE,PRJNA211,SAMD00061092,1759,1704,4,assembly from type material,Desulfurococcaceae,94.27,2.09
GCF_000013445.1,ASM1344v1,Methanospirillum hungatei JF-1,323259,OK,,JF-1,,,,,GCF_000013445.1-RS_2024_10_21,3544738,1,Complete Genome,2/17/2006,,3544738,3544738,1,,,,,,,,DOE Joint Genome Institute,PRJNA13015,SAMN02598287,3453,3352,34,assembly from type material,Methanomicrobiales,99.86,
GCF_000024185.1,ASM2418v1,Methanobrevibacter ruminantium M1,634498,OK,,M1,,,,,GCF_000024185.1-RS_2024_10_21,2937203,1,Complete Genome,2/5/2010,,2937203,2937203,1,,,,,,,,Pastoral Greenhouse Gas Research Consortium,PRJNA34681,SAMN02603710,2287,2203,21,assembly from type material,Methanobrevibacter,98.59,0.56
GCF_026000775.1,ASM2600077v1,Vulcanisaeta souniana JCM 11219,1293586,OK,,IC-059,,,,,GCF_026000775.1-RS_2024_06_10,2432148,1,Complete Genome,10/8/2022,,2432148,2432148,1,,,,,,,Illumina HiSeq X Ten; Nanopore MinION,"RIKEN-BRC, JCM",PRJDB14343,SAMD00535535,2651,2577,24,assembly from type material,Vulcanisaeta,90.89,4.89
GCF_000151105.2,ASM15110v2,Thermococcus barophilus MP,391623,OK,,MP,,,,,GCF_000151105.2-RS_2024_10_21,2064237,2,Complete Genome,12/17/2010,,2010078,2010078,2,,,,,,,,Moore Foundation,PRJNA19379,SAMN02603625,2284,2215,17,assembly from type material,Thermococcus,99.01,0.35
GCF_000195935.2,ASM19593v2,Pyrococcus abyssi GE5,272844,OK,,Orsay,,,,,GCF_000195935.2-RS_2024_10_21,1768562,2,Complete Genome,5/6/2003,,1765118,1765118,2,,,,,,,,Genoscope,PRJNA179,SAMEA3283067,1990,1903,16,assembly from type material,Pyrococcus,99.13,0.16
GCF_017352095.1,ASM1735209v1,Natrinema longum,370324,OK,,ABH32,,,,,GCF_017352095.1-RS_2024_05_06,3588874,1,Complete Genome,3/14/2021,,3588874,3588874,1,,,,,,,PacBio,Jiangsu University,PRJNA706550,SAMN18137902,3600,3494,45,assembly from type material,Natrinema,95.44,6.86
GCF_024300825.1,ASM2430082v1,Natronomonas gomsonensis,1046043,OK,,KCTC 4088,,,,,GCF_024300825.1-RS_2024_07_26,3652280,2,Complete Genome,7/18/2022,,3544915,3544915,2,,,,,,,PacBio Sequel,Jiangsu University,PRJNA857807,SAMN29636705,3898,3791,48,assembly from type material,Halobacteriales,99.5,2.9
GCF_003856835.1,ASM385683v1,Haloplanus aerogenes,660522,OK,,JCM 16430,,,,,GCF_003856835.1-RS_2024_10_23,3503092,2,Complete Genome,12/3/2018,,3461954,3461954,2,,,,,,,PacBio,World Institute of Kimchi,PRJNA481613,SAMN09684815,3681,3573,49,assembly from type material,Halobacteriales,99.52,0.45
GCF_004799665.1,ASM479966v1,Halapricum salinum,1457250,OK,,CBA1105,,,,,GCF_004799665.1-RS_2024_10_23,3452056,1,Complete Genome,4/18/2019,,3452056,3452056,1,,,,,,,PacBio RSII,Wuhan University,PRJNA482735,SAMN09711547,3479,3390,39,assembly from type material,Halobacteriales,99.1,1.24
GCF_001971705.1,ASM197170v1,Natronorubrum daqingense,588898,OK,,JX313,,,,,GCF_001971705.1-RS_2024_10_22,3835796,4,Complete Genome,1/26/2017,,3397437,3397437,4,,,,,,,Illumina HiSeq,Heilongjiang Academy,PRJNA329170,SAMN05417698,3787,3708,25,assembly from type material,Natronorubrum,76.51,6.9
GCF_002788215.1,ASM278821v1,Halohasta litchfieldiae,1073996,OK,,tADL,,,,,GCF_002788215.1-RS_2024_10_22,3332022,1,Complete Genome,11/20/2017,,3332022,3332022,1,,,,,,,"454, Illumina",JGI-PSF,PRJNA53493,SAMN00117514,3466,3325,84,assembly from type material,Halobacteriales,99.52,1.76
GCF_021233435.1,ASM2123343v1,Halobacterium noricense,223182,OK,,JCM 15102,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3316796,3,Complete Genome,12/20/2021,,2893719,2893719,3,,,,,,,PacBio Sequel,Jiangsu University,PRJNA787377,SAMN23798384,3555,3419,82,assembly from type material,Halobacterium,88.86,11.98
GCF_000470655.1,HATI1,Halorhabdus tiamatea SARL4B,1033806,OK,,type strain: SARL4B,,,,,GCF_000470655.1-RS_2024_10_21,3146160,2,Complete Genome,8/1/2013,,2815791,2815791,2,,,,,,,,MPI BREMEN,PRJEB1233,SAMEA2271992,3192,3064,76,assembly from type material,Halobacteriales,98.27,1.31
GCF_027563145.1,ASM2756314v1,Actinarchaeum halophilum,2814576,OK,,YIM 93972,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),3748090,5,Complete Genome,1/3/2023,,2676592,2676592,5,,,,,,,PacBio RSII,Institute of Microbiology,PRJNA702923,SAMN17983567,3799,3712,28,assembly from type material,Halobacteriaceae,99.49,1.78
GCF_000214725.1,ASM21472v1,Methanobacterium paludis,868131,OK,,SWAN1,,,,,GCF_000214725.1-RS_2024_10_21,2546541,1,Complete Genome,5/24/2011,,2546541,2546541,1,,,,,,,454/Illumina,US DOE Joint Genome Institute,PRJNA53561,SAMN00713630,2496,2431,7,assembly from type material,Methanobacterium,99.31,1.09
GCF_001886955.1,ASM188695v1,Halodesulfurarchaeum formicicum,1873524,OK,,HSR6,,,,,GCF_001886955.1-RS_2024_10_22,2085946,1,Complete Genome,11/28/2016,,2085946,2085946,1,,,,,,,,Immanuel Kant Baltic Federal University,PRJNA328078,SAMN05363636,2200,2126,23,assembly from type material,Halobacteriaceae,95.9,1.64
GCF_001412615.1,ASM141261v1,Pyrodictium delaneyi,1273541,OK,,Su06,,,,,GCF_001412615.1-RS_2024_03_28,2023836,1,Complete Genome,10/26/2015,,2023836,2023836,1,,,,,,,454; Illumina,Kyung Hee University,PRJNA268702,SAMN03223811,2115,2058,3,assembly from type material,Pyrodictiaceae,95.49,9.99
GCF_001889405.1,ASM188940v1,Methanohalophilus halophilus,2177,OK,,Z-7982,,,,,GCF_001889405.1-RS_2024_10_22,2022959,1,Complete Genome,12/6/2016,,2022959,2022959,1,,,,,,,Illumina HiSeq; Illumina MiSeq,UBO,PRJNA342410,SAMN05756399,2102,2028,19,assembly from type material,Methanosarcinaceae,98.83,
GCF_000517445.1,ASM51744v1,Thermococcus paralvinellae,582419,OK,,ES1,,,,,GCF_000517445.1-RS_2024_10_21,1957742,1,Complete Genome,1/10/2014,,1957742,1957742,1,,,,,,,454; Illumina,Kyung Hee University,PRJNA230233,SAMN03081513,2182,2105,25,assembly from type material,Thermococcus,97.42,1.05
GCF_039641995.1,ASM3964199v1,Geoglobus acetivorans,565033,Inconclusive,,SBH6,,,,,GCF_039641995.1-RS_2024_05_15,1903522,1,Complete Genome,5/18/2024,,1903522,1903522,1,,,,,,,PacBio,"Key Laboratory of Marine Genetic Resources, The Third Institute of Oceanography, Ministry of Natural Resources",PRJNA782083,SAMN23316877,2233,2173,8,assembly from type material,Archaeoglobaceae,98.17,2.08
GCF_002078355.1,ASM207835v1,Ferroplasma acidiphilum,74969,OK,,Y,,,,,GCF_002078355.1-RS_2024_10_22,1826943,1,Complete Genome,4/4/2017,,1826943,1826943,1,,,,,,,"Illumina, 454 FLX Ti, Sanger (for gap closure)",Max Planck Institute for Chemical Ecology,PRJNA316151,SAMN03952737,1856,1792,14,assembly from type material,Thermoplasmatales,98.79,1.45
GCF_025998175.1,ASM2599817v1,Nitrosopumilus zosterae,718286,OK,,NM25,,,,,GCF_025998175.1-RS_2024_04_29,1775052,1,Complete Genome,8/25/2022,,1775052,1775052,1,,,,,,,PacBio Sequel IIe,"Environmental Microbiology Lab, Department of Chemistry and Life Science, College of Bioresource Sciences, Nihon University",PRJDB14188,SAMD00520034,2136,2083,5,assembly from type material,Nitrosopumilaceae,90.53,7.53
GCF_000875775.1,ASM87577v1,Nitrosopumilus piranensis,1582439,OK,,D3C,,,,,GCF_000875775.1-RS_2024_04_29,1713078,1,Complete Genome,2/13/2015,,1713078,1713078,1,,,,,,,454/FLX-Titanium sequencer pyrosequencing,University of Vienna,PRJNA269924,SAMN03257648,2161,2110,3,assembly from type material,Nitrosopumilaceae,93.33,12.83
GCF_023167465.1,ASM2316746v1,Methanothermobacter tenebrarum,680118,OK,,RMAS,,,,,GCF_023167465.1-RS_2024_05_14,1495190,2,Complete Genome,4/7/2022,,1472762,1472762,2,,,,,,,ThermoFisher ABI3730xl,"Faculty of Applied Biological Sciences, Gifu University",PRJDB13305,SAMD00451045,1674,1616,13,assembly from type material,Methanothermobacter,76.06,3.77
GCF_000970285.1,ASM97028v1,Methanosarcina horonobensis HB-1 = JCM 15518,1434110,OK,,HB-1,,,,,GCF_000970285.1-RS_2024_10_21,5018607,1,Complete Genome,4/7/2015,,5018607,5018607,1,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230942,SAMN03074578,4540,4369,102,assembly from type material,Methanosarcina,98.02,7.01
GCF_000226975.2,ASM22697v3,Halobiforma lacisalsi AJ5,358396,OK,,AJ5,,,,,GCF_000226975.2-RS_2024_10_22,4381543,3,Complete Genome,1/23/2017,,4161587,4161587,3,,,,,,,Hiseq; Miseq; Ion-torrent; Sanger for gap closure,"College of Life Sciences, Zhejiang University",PRJNA16192,SAMN02470038,4294,4136,97,assembly from type material,Halobiforma lacisalsi,96.73,5.48
GCF_000230735.2,ASM23073v3,Natrinema pellirubrum DSM 15624,797303,OK,,DSM 15624,,,,,GCF_000230735.2-RS_2024_10_21,4354100,3,Complete Genome,12/27/2012,,3790479,3790479,3,,,,,,,454/Illumina,JGI,PRJNA52951,SAMN02261373,4372,4160,151,assembly from type material,Natrinema,97.39,0.93
GCF_000025625.1,ASM2562v1,Natrialba magadii ATCC 43099,547559,OK,,ATCC 43099,,,,,GCF_000025625.1-RS_2024_10_21,4443643,4,Complete Genome,2/24/2010,,3751858,3751858,4,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA30691,SAMN02598473,4255,4123,69,assembly from type material,Natrialba,98.73,
GCF_018200015.1,ASM1820001v1,Haloarcula sinaiiensis ATCC 33800,662476,OK,,ATCC 33800,,,,,GCF_018200015.1-RS_2024_03_28,4537128,7,Complete Genome,4/29/2021,,3093724,3093724,7,,,,,,,PacBio RSII,University of Maryland,PRJNA412908,SAMN18811338,4625,4444,117,assembly from type material,Haloarcula,99.22,2.67
GCF_004799645.1,ASM479964v1,Natronorubrum bangense,61858,OK,,JCM 10635,,,,,GCF_004799645.1-RS_2024_10_23,4382412,5,Complete Genome,4/18/2019,,3079186,3079186,5,,,,,,,PacBio RSII,Wuhan University,PRJNA482706,SAMN09711300,4351,4187,81,assembly from type material,Natronorubrum,79.12,19.68
GCF_019669965.1,ASM1966996v1,Methanoculleus chikugoensis,118126,OK,,MG62,,,,,GCF_019669965.1-RS_2024_04_28,2622259,1,Complete Genome,6/2/2021,,2622259,2622259,1,,,,,,,"Illumina MiSeq, GridION","Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",PRJDB8303,SAMD00171896,2643,2586,4,assembly from type material,Methanomicrobiaceae,97.83,4.05
GCF_000013725.1,ASM1372v1,Methanococcoides burtonii DSM 6242,259564,OK,,DSM 6242,,,,,GCF_000013725.1-RS_2024_10_21,2575032,1,Complete Genome,4/10/2006,,2575032,2575032,1,,,,,,,,DOE Joint Genome Institute,PRJNA9634,SAMN02598545,2641,2485,91,assembly from type material,Methanosarcinaceae,98.24,
GCF_000025505.1,ASM2550v1,Ferroglobus placidus DSM 10642,589924,OK,,DSM 10642,,,,,GCF_000025505.1-RS_2024_10_21,2196266,1,Complete Genome,2/16/2010,,2196266,2196266,1,,,,,,,,US DOE Joint Genome Institute,PRJNA33635,SAMN02598503,2627,2557,16,assembly from type material,Archaeoglobaceae,99.66,0.09
GCF_000223395.1,ASM22339v1,Pyrolobus fumarii 1A,694429,OK,,1A,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1843267,1,Complete Genome,8/12/2011,,1843267,1843267,1,,,,,,,454/Illumina,DOE Joint Genome Institute,PRJNA48579,SAMN02232047,2007,1951,4,assembly from type material,Pyrodictiaceae,98.65,
GCF_000011105.1,ASM1110v1,Pyrococcus horikoshii OT3,70601,OK,,OT3,,,,,GCF_000011105.1-RS_2024_10_21,1738505,1,Complete Genome,5/11/2004,,1738505,1738505,1,,,,,,,,NITE,PRJNA207,SAMD00061090,1943,1857,16,assembly from type material,Pyrococcus,96.48,0.55
GCF_000007185.1,ASM718v1,Methanopyrus kandleri AV19,190192,OK,,AV19,,,,,GCF_000007185.1-RS_2024_10_21,1694969,1,Complete Genome,4/3/2002,,1694969,1694969,1,,,,,,,,Fidelity Systems,PRJNA294,SAMN02603235,1835,1778,17,assembly from type material,Euryarchaeota,96.74,1.64
GCF_003711245.1,ASM371124v1,Methanomethylophilus alvi,1291540,OK,,Mx-05,,,,,GCF_003711245.1-RS_2024_10_23,1666767,1,Complete Genome,11/5/2018,,1666767,1666767,1,,,,,,,Illumina HiSeq,Universite Auvergne - UdA / UCA,PRJNA344871,SAMN05892231,1682,1610,20,assembly from type material,Thermoplasmata,70.74,13.05
GCF_000591035.1,ASM59103v1,Aeropyrum camini SY1 = JCM 12091,1198449,OK,,SY1,,,,,GCF_000591035.1-RS_2024_03_28,1595994,1,Complete Genome,9/27/2013,,1595994,1595994,1,,,,,,,Roche 454 GS FLX Titanium,"Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University",PRJDB107,SAMD00061006,1682,1626,5,assembly from type material,Desulfurococcaceae,93.37,0.9
GCF_000008265.1,ASM826v1,Picrophilus oshimae DSM 9789,1122961,OK,,DSM 9790,,,,,GCF_000008265.1-RS_2024_10_21,1545895,1,Complete Genome,6/8/2004,,1545895,1545895,1,,,,,,,,"Institut of Microbiology and Genetics, University of Goettingen",PRJNA10641,SAMN02603345,1637,1578,7,assembly from synonym type material,Thermoplasmatales,99.84,0.65
GCF_000025325.1,ASM2532v1,Haloterrigena turkmenica DSM 5511,543526,OK,,DSM 5511,,,,,GCF_000025325.1-RS_2024_10_21,5440782,7,Complete Genome,1/19/2010,,3889038,3889038,7,,,,,,,,US DOE Joint Genome Institute (JGI-PGF),PRJNA30411,SAMN02598471,5288,5069,157,assembly from type material,Haloterrigena,99.38,0.9
GCF_000969885.1,ASM96988v1,Methanosarcina thermophila TM-1,523844,OK,,TM-1,,,,,GCF_000969885.1-RS_2024_10_21,3127379,1,Complete Genome,4/7/2015,,3127379,3127379,1,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230961,SAMN03074597,2812,2713,31,assembly from type material,Methanosarcina,89.88,5.19
